Start Time,End Time,BTS Name,Cell ID,BTS IP Address,BSC Name,Call Setup Success Rate,Call Setup Success Rate - NR,Call Setup Success Rate - DR,Call Success Rate,Call Success Rate - NR,Call Success Rate - DR,CS Erlangs,LCLS CS Erlangs,Total Channel Drops,SDCCH Drop Count,SDCCH Drop Rate,SDCCH Drop Rate - NR,SDCCH Drop Rate - DR,TCH Drop Count,TCH Drop Rate Prime,TCH Drop Rate Prime - NR,TCH Drop Rate Prime - DR,TCH Drop Rate,TCH Drop Rate - NR,TCH Drop Rate - DR,Immediate Assignment Procedure Success Rate,Immediate Assignment Procedure Success Rate - NR,Immediate Assignment Procedure Success Rate - DR,SDCCH Blocking Count,SDCCH Blocking Rate,SDCCH Blocking Rate - NR,SDCCH Blocking Rate - DR,TCH Blocking Count,TCH Blocking Rate,TCH Blocking Rate - NR,TCH Blocking Rate - DR,Number Of Tchf Attempts,Number Of Tchf Success,Number Of Tchh Attempts,Number Of Tchh Success,Number Of SDCCH Assignment Attempts,Number Of Successful SDCCH Assignments,External Handover Success Rate,External Handover Success Rate - NR,External Handover Success Rate - DR,Internal Handover Success Rate,Internal Handover Success Rate - NR,Internal Handover Success Rate - DR,Internal Handover Success Rate Prime,Internal Handover Success Rate Prime - NR,Internal Handover Success Rate Prime - DR,Total Voice Call Minutes,Mean Holding Time In Secs,Mean Holding Time In Secs - NR,Mean Holding Time In Secs - DR,DL TCH RxQual 0,DL TCH RxQual 1,DL TCH RxQual 2,DL TCH RxQual 3,DL TCH RxQual 4,DL TCH RxQual 5,DL TCH RxQual 6,DL TCH RxQual 7,UL TCH RxQual 0,UL TCH RxQual 1,UL TCH RxQual 2,UL TCH RxQual 3,UL TCH RxQual 4,UL TCH RxQual 5,UL TCH RxQual 6,UL TCH RxQual 7,UL TCH RxQual 0To5 Percent,DL TCH RxQual 0To5 Percent,SDCCH8 Blocking Count,Number Of Radio Connection Failures SDCCH4,Number Of Radio Connection Failures SDCCH8,Number Of Radio Connection Failures TCH_H,Number Of Radio Connection Failures TCH_F,Number Of SDCCH4 Assignment Attempts,Number Of SDCCH4 Assignment Success,Number Of SDCCH8 Assignment Attempts,Number Of SDCCH8 Assignment Success,SDCCH4 Blocking Count,TCH_H Blocking Count,TCH_F Blocking Count,Number Of Paging Attempts,Percent Smart Pages,Percent Smart Pages - NR,Percent Smart Pages - DR,Smart Paging Success Rate,Smart Paging Success Rate - NR,Smart Paging Success Rate - DR,Number Of Emergency Calls,Number Of Location Updates,Total Number Of Calls,External HandIn Success Rate,External HandIn Success Rate - NR,External HandIn Success Rate - DR,BTS Up Time,Abis Availability,Average TRX Up Time In Secs
Sep 25 2023 - 05:00:00,Sep 25 2023 - 05:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,10.0,10.0,90.0,9.0,10.0,0.08,0.0,1.0,0.0,0.0,0.0,107.0,1.0,10.0,1.0,10.0,10.0,1.0,10.0,99.0,107.0,108.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,108.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,5.0,10.0,469.0,18.0,31.0,24.0,12.0,10.0,3.0,5.0,581.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,107.0,0.0,0.0,0.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,0.0,0.0,00:11:01:59,100.0,900.0
Sep 25 2023 - 05:15:00,Sep 25 2023 - 05:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,22.0,22.0,95.0,21.0,22.0,0.42,0.0,1.0,0.0,0.0,0.0,99.0,1.0,5.0,1.0,22.0,5.0,1.0,22.0,99.0,99.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,22.0,100.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,66.0,25.0,22.0,2606.0,53.0,124.0,115.0,37.0,10.0,9.0,4.0,2999.0,1.0,0.0,0.0,3.0,15.0,25.0,32.0,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,99.0,0.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,29.0,22.0,0.0,0.0,0.0,00:11:16:59,100.0,899.0
Sep 25 2023 - 05:30:00,Sep 25 2023 - 05:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,33.0,33.0,100.0,33.0,33.0,0.74,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,98.0,122.0,124.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,33.0,124.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,72.0,44.0,33.0,4262.0,157.0,332.0,325.0,104.0,29.0,6.0,2.0,5404.0,9.0,5.0,1.0,7.0,34.0,58.0,55.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,122.0,0.0,0.0,0.0,191.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,28.0,33.0,0.0,0.0,0.0,00:11:31:59,100.0,900.0
Sep 25 2023 - 05:45:00,Sep 25 2023 - 06:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,98.0,42.0,43.0,98.0,41.0,42.0,0.55,0.0,1.0,0.0,0.0,0.0,133.0,1.0,2.0,1.0,42.0,2.0,1.0,42.0,100.0,133.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,42.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,45.0,33.0,42.0,3337.0,89.0,215.0,154.0,45.0,12.0,3.0,1.0,4003.0,2.0,2.0,2.0,3.0,10.0,29.0,57.0,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,133.0,133.0,0.0,0.0,0.0,266.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,36.0,42.0,0.0,0.0,0.0,00:11:46:59,100.0,900.0
Sep 25 2023 - 06:00:00,Sep 25 2023 - 06:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,33.0,33.0,94.0,31.0,33.0,0.45,0.0,2.0,0.0,0.0,0.0,165.0,2.0,6.0,2.0,33.0,6.0,2.0,33.0,98.0,165.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,33.0,168.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,45.0,27.0,33.0,2905.0,39.0,144.0,86.0,26.0,8.0,0.0,0.0,3203.0,0.0,1.0,0.0,1.0,8.0,46.0,63.0,97.0,97.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,168.0,165.0,0.0,0.0,0.0,296.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,43.0,33.0,0.0,0.0,0.0,00:12:02:00,100.0,901.0
Sep 25 2023 - 06:15:00,Sep 25 2023 - 06:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,56.0,56.0,95.0,53.0,56.0,0.75,0.0,3.0,0.0,0.0,0.0,133.0,3.0,5.0,3.0,56.0,5.0,3.0,56.0,97.0,133.0,137.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,56.0,0.0,0.0,56.0,56.0,137.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,44.0,45.0,56.0,4371.0,129.0,350.0,300.0,95.0,23.0,3.0,2.0,5498.0,10.0,1.0,6.0,3.0,24.0,38.0,77.0,98.0,98.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,137.0,133.0,0.0,0.0,0.0,533.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,32.0,56.0,0.0,0.0,0.0,00:12:17:00,100.0,900.0
Sep 25 2023 - 06:30:00,Sep 25 2023 - 06:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,76.0,76.0,99.0,75.0,76.0,0.93,0.0,1.0,0.0,0.0,0.0,225.0,1.0,1.0,1.0,76.0,1.0,1.0,76.0,92.0,225.0,244.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,76.0,0.0,0.0,76.0,76.0,244.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,42.0,56.0,76.0,5688.0,145.0,334.0,266.0,71.0,32.0,15.0,2.0,6731.0,9.0,2.0,0.0,7.0,34.0,85.0,100.0,97.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244.0,225.0,0.0,0.0,0.0,471.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,47.0,76.0,0.0,0.0,0.0,00:12:32:00,100.0,900.0
Sep 25 2023 - 06:45:00,Sep 25 2023 - 07:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,98.0,56.0,57.0,96.0,54.0,56.0,0.63,0.0,2.0,0.0,0.0,0.0,154.0,2.0,4.0,2.0,56.0,4.0,2.0,56.0,99.0,154.0,156.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,57.0,0.0,0.0,57.0,56.0,156.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,36.0,38.0,56.0,3914.0,89.0,193.0,128.0,52.0,38.0,17.0,10.0,4364.0,14.0,10.0,12.0,8.0,36.0,199.0,117.0,93.0,93.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,156.0,154.0,0.0,0.0,0.0,412.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,30.0,56.0,0.0,0.0,0.0,00:12:46:59,100.0,899.0
Sep 25 2023 - 07:00:00,Sep 25 2023 - 07:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,48.0,48.0,100.0,48.0,48.0,0.65,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,95.0,137.0,144.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,48.0,144.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,39.0,48.0,4155.0,98.0,212.0,160.0,40.0,17.0,4.0,0.0,4699.0,0.0,2.0,3.0,1.0,17.0,96.0,88.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,137.0,0.0,0.0,0.0,556.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,28.0,48.0,0.0,0.0,0.0,00:13:01:59,100.0,900.0
Sep 25 2023 - 00:00:00,Sep 25 2023 - 00:15:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,8.0,8.0,88.0,7.0,8.0,0.1,0.0,1.0,0.0,0.0,0.0,62.0,1.0,13.0,1.0,8.0,13.0,1.0,8.0,98.0,62.0,63.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,63.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,6.0,8.0,724.0,17.0,30.0,4.0,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,62.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,00:09:50:08,100.0,900.0
Sep 25 2023 - 00:15:00,Sep 25 2023 - 00:30:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,3.0,3.0,67.0,2.0,3.0,0.01,0.0,1.0,0.0,0.0,0.0,50.0,1.0,33.0,1.0,3.0,33.0,1.0,3.0,100.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,3.0,42.0,0.0,1.0,3.0,11.0,14.0,11.0,3.0,99.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,00:10:05:08,100.0,900.0
Sep 25 2023 - 00:30:00,Sep 25 2023 - 00:45:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,4.0,4.0,100.0,4.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,100.0,77.0,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,4.0,140.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,00:10:20:08,100.0,900.0
Sep 25 2023 - 00:45:00,Sep 25 2023 - 01:00:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,1.0,1.0,100.0,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,98.0,59.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,1.0,1.0,81.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,59.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,00:10:35:08,100.0,900.0
Sep 25 2023 - 01:00:00,Sep 25 2023 - 01:15:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,1.0,1.0,0.0,0.0,1.0,0.02,0.0,1.0,0.0,0.0,0.0,52.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,52.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,1.0,1.0,106.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,00:10:50:07,100.0,899.0
Sep 25 2023 - 01:15:00,Sep 25 2023 - 01:30:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,3.0,3.0,100.0,3.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,100.0,46.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,3.0,95.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,00:11:05:08,100.0,901.0
Sep 25 2023 - 01:30:00,Sep 25 2023 - 01:45:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,00:11:20:08,100.0,900.0
Sep 25 2023 - 01:45:00,Sep 25 2023 - 02:00:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,00:11:35:08,100.0,900.0
Sep 25 2023 - 02:00:00,Sep 25 2023 - 02:15:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,51.0,51.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,00:11:50:08,100.0,900.0
Sep 25 2023 - 02:15:00,Sep 25 2023 - 02:30:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,00:12:05:07,100.0,899.0
Sep 25 2023 - 02:30:00,Sep 25 2023 - 02:45:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,3.0,3.0,100.0,3.0,3.0,0.06,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,100.0,59.0,59.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,70.0,3.0,3.0,395.0,9.0,17.0,7.0,1.0,1.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,00:12:20:08,100.0,901.0
Sep 25 2023 - 02:45:00,Sep 25 2023 - 03:00:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,57.0,59.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,57.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,00:12:35:08,100.0,900.0
Sep 25 2023 - 03:00:00,Sep 25 2023 - 03:15:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,00:12:50:08,100.0,900.0
Sep 25 2023 - 03:15:00,Sep 25 2023 - 03:30:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,3.0,3.0,100.0,3.0,3.0,0.03,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,96.0,49.0,51.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,51.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,2.0,3.0,180.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,00:13:05:08,100.0,900.0
Sep 25 2023 - 03:30:00,Sep 25 2023 - 03:45:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,1.0,1.0,100.0,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,60.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,30.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,00:13:20:08,100.0,900.0
Sep 25 2023 - 03:45:00,Sep 25 2023 - 04:00:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,6.0,6.0,83.0,5.0,6.0,0.03,0.0,1.0,0.0,0.0,0.0,63.0,1.0,17.0,1.0,6.0,17.0,1.0,6.0,100.0,63.0,63.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,2.0,6.0,177.0,6.0,11.0,20.0,14.0,23.0,7.0,1.0,251.0,6.0,2.0,2.0,2.0,2.0,1.0,5.0,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,27.0,6.0,0.0,0.0,0.0,00:13:35:08,100.0,900.0
Sep 25 2023 - 04:00:00,Sep 25 2023 - 04:15:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,4.0,4.0,100.0,4.0,4.0,0.04,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,99.0,76.0,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,77.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,2.0,4.0,233.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,76.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,00:13:50:08,100.0,899.0
Sep 25 2023 - 04:15:00,Sep 25 2023 - 04:30:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,8.0,8.0,75.0,6.0,8.0,0.35,0.0,2.0,0.0,0.0,0.0,73.0,2.0,25.0,2.0,8.0,25.0,2.0,8.0,97.0,73.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,75.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,125.0,21.0,8.0,2303.0,37.0,96.0,77.0,36.0,8.0,9.0,8.0,2557.0,3.0,4.0,6.0,5.0,19.0,21.0,9.0,99.0,99.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,75.0,73.0,0.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,00:14:05:07,100.0,900.0
Sep 25 2023 - 04:30:00,Sep 25 2023 - 04:45:00,ED4859,48591,10.28.73.18,MNG-KNVVB01,100.0,7.0,7.0,100.0,7.0,7.0,0.26,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,93.0,99.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,106.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,116.0,15.0,7.0,1584.0,35.0,116.0,107.0,46.0,4.0,0.0,0.0,1920.0,0.0,1.0,2.0,1.0,10.0,14.0,4.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,99.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,42.0,7.0,0.0,0.0,0.0,00:14:20:08,100.0,901.0
