Start Time,End Time,Device Name,Cell ID,IP Address,BSC Name,DL PS Erlangs,UL PS Erlangs,Total Data Calls,Total Downlink Data In KByte,Total Uplink Data In KByte,Downlink Data Throughput In Kbps,Downlink Data Throughput In Kbps - NR,Downlink Data Throughput In Kbps - DR,Uplink Data Throughput In Kbps,Uplink Data Throughput In Kbps - NR,Uplink Data Throughput In Kbps - DR,DL Tbf Drop Rate,DL Tbf Drop Rate - NR,DL Tbf Drop Rate - DR,UL Tbf Drop Rate,UL Tbf Drop Rate - NR,UL Tbf Drop Rate - DR,Egprs Downlink Data Throughput In Kbps,Egprs Downlink Data Throughput In Kbps - NR,Egprs Downlink Data Throughput In Kbps - DR,Egprs Uplink Data Throughput In Kbps,Egprs Uplink Data Throughput In Kbps - NR,Egprs Uplink Data Throughput In Kbps - DR,Gprs Downlink Data Throughput In Kbps,Gprs Downlink Data Throughput In Kbps - NR,Gprs Downlink Data Throughput In Kbps - DR,Gprs Uplink Data Throughput In Kbps,Gprs Uplink Data Throughput In Kbps - NR,Gprs Uplink Data Throughput In Kbps - DR,Downlink Data Retransmission Rate,Downlink Data Retransmission Rate - NR,Downlink Data Retransmission Rate - DR,Uplink Data Retransmission Rate,Uplink Data Retransmission Rate - NR,Uplink Data Retransmission Rate - DR,Gprs Uplink Tbf Blocking Rate,Gprs Uplink Tbf Blocking Rate - NR,Gprs Uplink Tbf Blocking Rate - DR,Gprs Downlink Tbf Blocking Rate,Gprs Downlink Tbf Blocking Rate - NR,Gprs Downlink Tbf Blocking Rate - DR,Egprs Downlink Tbf Blocking Rate,Egprs Downlink Tbf Blocking Rate - NR,Egprs Downlink Tbf Blocking Rate - DR,Egprs Uplink Tbf Blocking Rate,Egprs Uplink Tbf Blocking Rate - NR,Egprs Uplink Tbf Blocking Rate - DR,DL Tbf Establishment Success Rate,DL Tbf Establishment Success Rate - NR,DL Tbf Establishment Success Rate - DR,UL Tbf Establishment Success Rate,UL Tbf Establishment Success Rate - NR,UL Tbf Establishment Success Rate - DR,GprsDownlinkTbfReallocationAttempts,GprsDownlinkTbfReallocationSuccess,GprsUplinkTbfReallocationAttempts,GprsUplinkTbfReallocationSuccess,EgprsDownlinkTbfReallocationAttempts,EgprsDownlinkTbfReallocationSuccess,EgprsUplinkTbfReallocationAttempts,EgprsUplinkTbfReallocationSuccess,DlMcs1Count,DlMcs2Count,DlMcs3Count,DlMcs4Count,DlMcs5Count,DlMcs6Count,DlMcs7Count,DlMcs8Count,DlMcs9Count,UlMcs1Count,UlMcs2Count,UlMcs3Count,UlMcs4Count,UlMcs5Count,UlMcs6Count,UlMcs7Count,UlMcs8Count,UlMcs9Count,DlCs1Count,DlCs2Count,DlCs3Count,DlCs4Count,UlCs1Count,UlCs2Count,UlCs3Count,UlCs4Count,Uplink Tbf Assignment Success Rate,Uplink Tbf Assignment Success Rate - NR,Uplink Tbf Assignment Success Rate - DR,Downlink Tbf Assignment Success Rate,Downlink Tbf Assignment Success Rate - NR,Downlink Tbf Assignment Success Rate - DR
Sep 25 2023 - 06:00:00,Sep 25 2023 - 07:00:00,ED4859-PCU,48591,10.28.73.18,10.201.165.1,2.7399999999999998,1.89,2643.0,12230.0,7307.0,11.46,97837.02,8534.12,6.95,58455.67,8413.27,2.0,12.0,800.0,10.0,181.0,1843.0,11.67,92269.19,7907.75,6.82,54916.45,8056.39,8.89,5567.83,626.37,9.92,3539.23,356.88,12.0,21829.0,189048.0,100.0,994.0,207826.0,0.0,0.0,533.0,0.0,0.0,100.0,0.0,0.0,749.0,0.0,0.0,1356.0,94.0,751.0,800.0,64.0,1188.0,1843.0,11.0,11.0,11.0,11.0,39.0,39.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,164768.0,0.0,0.0,0.0,0.0,0.0,193238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24280.0,0.0,0.0,0.0,0.0,0.0,15582.0,100.0,1843.0,1843.0,100.0,799.0,799.0
Sep 25 2023 - 06:00:00,Sep 25 2023 - 07:00:00,BY2720-PCU-2,27201,10.28.73.148,10.201.165.1,3.43,1.6300000000000001,4696.0,14459.0,4875.0,23.39,115679.17,4945.48,9.69,39004.24,4026.11,2.0,33.0,1398.0,4.0,146.0,3298.0,23.75,115396.55,4858.72,9.84,38288.57,3892.3,3.26,282.62,86.76,5.35,715.67,133.81,12.0,25492.0,204471.0,100.0,607.0,138768.0,0.0,0.0,518.0,0.0,0.0,95.0,0.0,0.0,1627.0,0.0,0.0,3047.0,90.0,1257.0,1398.0,85.0,2801.0,3298.0,6.0,6.0,7.0,7.0,313.0,313.0,254.0,254.0,0.0,0.0,0.0,0.0,0.0,203151.0,0.0,0.0,0.0,0.0,0.0,136108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,3267.0,100.0,3304.0,3304.0,100.0,1403.0,1403.0
Sep 25 2023 - 06:00:00,Sep 25 2023 - 07:00:00,DL5037-PCU,50371,10.28.73.26,10.201.165.1,3.3899999999999997,1.9400000000000002,2567.0,15836.0,7521.0,30.22,126688.99,4191.6,18.18,60171.82,3308.94,2.0,9.0,578.0,2.0,38.0,1989.0,33.2,123659.42,3724.17,19.58,56485.95,2884.98,6.48,3029.57,467.43,8.69,3685.87,423.96,13.0,30485.0,229597.0,100.0,1151.0,213237.0,0.0,0.0,1346.0,0.0,0.0,273.0,0.0,0.0,572.0,0.0,0.0,882.0,93.0,539.0,578.0,99.0,1972.0,1989.0,10.0,10.0,3.0,3.0,249.0,249.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,216175.0,0.0,0.0,0.0,0.0,0.0,197947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13422.0,0.0,0.0,0.0,0.0,0.0,16446.0,100.0,1996.0,1996.0,100.0,586.0,586.0
Sep 25 2023 - 00:00:00,Sep 25 2023 - 01:00:00,TestBTS-PCU-1,19931,10.28.73.38,10.201.165.1,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
