Start Time,End Time,Device Name,Cell ID,IP Address,BSC Name,Call Setup Success Rate,Call Setup Success Rate - NR,Call Setup Success Rate - DR,Call Success Rate,Call Success Rate - NR,Call Success Rate - DR,CS Erlangs,LCLS CS Erlangs,Total Channel Drops,SDCCH Drop Count,SDCCH Drop Rate,SDCCH Drop Rate - NR,SDCCH Drop Rate - DR,TCH Drop Count,TCH Drop Rate Prime,TCH Drop Rate Prime - NR,TCH Drop Rate Prime - DR,TCH Drop Rate,TCH Drop Rate - NR,TCH Drop Rate - DR,Immediate Assignment Procedure Success Rate,Immediate Assignment Procedure Success Rate - NR,Immediate Assignment Procedure Success Rate - DR,SDCCH Blocking Count,SDCCH Blocking Rate,SDCCH Blocking Rate - NR,SDCCH Blocking Rate - DR,TCH Blocking Count,TCH Blocking Rate,TCH Blocking Rate - NR,TCH Blocking Rate - DR,Number Of Tchf Attempts,Number Of Tchf Success,Number Of Tchh Attempts,Number Of Tchh Success,Number Of SDCCH Assignment Attempts,Number Of Successful SDCCH Assignments,External Handover Success Rate,External Handover Success Rate - NR,External Handover Success Rate - DR,Internal Handover Success Rate,Internal Handover Success Rate - NR,Internal Handover Success Rate - DR,Internal Handover Success Rate Prime,Internal Handover Success Rate Prime - NR,Internal Handover Success Rate Prime - DR,Total Voice Call Minutes,Mean Holding Time In Secs,Mean Holding Time In Secs - NR,Mean Holding Time In Secs - DR,DL TCH RxQual 0,DL TCH RxQual 1,DL TCH RxQual 2,DL TCH RxQual 3,DL TCH RxQual 4,DL TCH RxQual 5,DL TCH RxQual 6,DL TCH RxQual 7,UL TCH RxQual 0,UL TCH RxQual 1,UL TCH RxQual 2,UL TCH RxQual 3,UL TCH RxQual 4,UL TCH RxQual 5,UL TCH RxQual 6,UL TCH RxQual 7,UL TCH RxQual 0To5 Percent,DL TCH RxQual 0To5 Percent,SDCCH8 Blocking Count,Number Of Radio Connection Failures SDCCH4,Number Of Radio Connection Failures SDCCH8,Number Of Radio Connection Failures TCH_H,Number Of Radio Connection Failures TCH_F,Number Of SDCCH4 Assignment Attempts,Number Of SDCCH4 Assignment Success,Number Of SDCCH8 Assignment Attempts,Number Of SDCCH8 Assignment Success,SDCCH4 Blocking Count,TCH_H Blocking Count,TCH_F Blocking Count,Number Of Paging Attempts,Percent Smart Pages,Percent Smart Pages - NR,Percent Smart Pages - DR,Smart Paging Success Rate,Smart Paging Success Rate - NR,Smart Paging Success Rate - DR,Number Of Emergency Calls,Number Of Location Updates,Total Number Of Calls,External HandIn Success Rate,External HandIn Success Rate - NR,External HandIn Success Rate - DR
Sep 25 2023 - 06:00:00,Sep 25 2023 - 07:00:00,DL5037,50371,10.28.73.26,10.201.165.1,100.0,221.0,222.0,96.0,213.0,221.0,2.76,0.0,8.0,0.0,0.0,0.0,677.0,8.0,4.0,8.0,221.0,4.0,8.0,221.0,96.0,677.0,705.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,222.0,0.0,0.0,222.0,221.0,705.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,45.0,166.0,221.0,16878.0,402.0,1021.0,780.0,244.0,101.0,35.0,14.0,19796.0,33.0,14.0,18.0,19.0,102.0,368.0,357.0,97.0,100.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,705.0,677.0,0.0,0.0,0.0,1712.0,0.0,0.0,1712.0,NaN,0.0,0.0,0.0,152.0,221.0,0.0,0.0,0.0
Sep 25 2023 - 06:00:00,Sep 25 2023 - 07:00:00,ED4859,48591,10.28.73.18,10.201.165.1,97.0,268.0,276.0,97.0,261.0,268.0,4.11,0.0,7.0,0.0,0.0,0.0,767.0,7.0,3.0,7.0,268.0,3.0,7.0,268.0,84.0,767.0,915.0,1.0,0.0,1.0,916.0,0.0,0.0,0.0,276.0,0.0,0.0,276.0,268.0,915.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,55.0,247.0,268.0,25288.0,519.0,1494.0,1308.0,353.0,111.0,42.0,10.0,29592.0,22.0,13.0,19.0,34.0,249.0,549.0,332.0,97.0,100.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,915.0,767.0,0.0,0.0,0.0,1712.0,0.0,0.0,1712.0,NaN,0.0,0.0,0.0,208.0,268.0,0.0,0.0,0.0
Sep 25 2023 - 06:00:00,Sep 25 2023 - 07:00:00,BY2720,27201,10.28.73.148,10.201.165.1,99.0,766.0,772.0,96.0,739.0,766.0,10.34,0.0,27.0,0.0,0.0,0.0,1387.0,27.0,4.0,27.0,766.0,4.0,27.0,766.0,99.0,1387.0,1396.0,0.0,0.0,0.0,1396.0,0.0,0.0,0.0,772.0,0.0,0.0,772.0,766.0,1396.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,48.0,619.0,766.0,67371.0,1157.0,3158.0,2102.0,250.0,32.0,17.0,7.0,75874.0,74.0,43.0,41.0,90.0,396.0,753.0,286.0,99.0,100.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1396.0,1387.0,0.0,0.0,0.0,1712.0,0.0,0.0,1712.0,NaN,0.0,0.0,0.0,173.0,766.0,0.0,0.0,0.0
Sep 25 2023 - 00:00:00,Sep 25 2023 - 01:00:00,TestBTS-1,19931,10.28.73.38,10.201.165.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
