Start Time,End Time,BSC Name,BSC IP Address,Call Setup Success Rate,Call Setup Success Rate - NR,Call Setup Success Rate - DR,Call Success Rate,Call Success Rate - NR,Call Success Rate - DR,CS Erlangs,LCLS CS Erlangs,Total Channel Drops,SDCCH Drop Count,SDCCH Drop Rate,SDCCH Drop Rate - NR,SDCCH Drop Rate - DR,TCH Drop Count,TCH Drop Rate Prime,TCH Drop Rate Prime - NR,TCH Drop Rate Prime - DR,TCH Drop Rate,TCH Drop Rate - NR,TCH Drop Rate - DR,Immediate Assignment Procedure Success Rate,Immediate Assignment Procedure Success Rate - NR,Immediate Assignment Procedure Success Rate - DR,SDCCH Blocking Count,SDCCH Blocking Rate,SDCCH Blocking Rate - NR,SDCCH Blocking Rate - DR,TCH Blocking Count,TCH Blocking Rate,TCH Blocking Rate - NR,TCH Blocking Rate - DR,Number Of Tchf Attempts,Number Of Tchf Success,Number Of Tchh Attempts,Number Of Tchh Success,Number Of SDCCH Assignment Attempts,Number Of Successful SDCCH Assignments,External Handover Success Rate,External Handover Success Rate - NR,External Handover Success Rate - DR,Internal Handover Success Rate,Internal Handover Success Rate - NR,Internal Handover Success Rate - DR,Internal Handover Success Rate Prime,Internal Handover Success Rate Prime - NR,Internal Handover Success Rate Prime - DR,Total Voice Call Minutes,Mean Holding Time In Secs,Mean Holding Time In Secs - NR,Mean Holding Time In Secs - DR,DL TCH RxQual 0,DL TCH RxQual 1,DL TCH RxQual 2,DL TCH RxQual 3,DL TCH RxQual 4,DL TCH RxQual 5,DL TCH RxQual 6,DL TCH RxQual 7,UL TCH RxQual 0,UL TCH RxQual 1,UL TCH RxQual 2,UL TCH RxQual 3,UL TCH RxQual 4,UL TCH RxQual 5,UL TCH RxQual 6,UL TCH RxQual 7,UL TCH RxQual 0To5 Percent,DL TCH RxQual 0To5 Percent,SDCCH8 Blocking Count,Number Of Radio Connection Failures SDCCH4,Number Of Radio Connection Failures SDCCH8,Number Of Radio Connection Failures TCH_H,Number Of Radio Connection Failures TCH_F,Number Of SDCCH4 Assignment Attempts,Number Of SDCCH4 Assignment Success,Number Of SDCCH8 Assignment Attempts,Number Of SDCCH8 Assignment Success,SDCCH4 Blocking Count,TCH_H Blocking Count,TCH_F Blocking Count,Number Of Paging Attempts,Percent Smart Pages,Percent Smart Pages - NR,Percent Smart Pages - DR,Smart Paging Success Rate,Smart Paging Success Rate - NR,Smart Paging Success Rate - DR,Number Of Emergency Calls,Number Of Location Updates,Total Number Of Calls,External HandIn Success Rate,External HandIn Success Rate - NR,External HandIn Success Rate - DR,Abis Availability
Sep 25 2023 - 04:30:00,Sep 25 2023 - 04:45:00,MNG-KNVVB01,10.201.165.1,100.0,21.0,21.0,100.0,21.0,21.0,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,97.45,268.0,275.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,21.0,275.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,51.43,18.0,21.0,1913.0,41.0,126.0,116.0,47.0,9.0,0.0,0.0,2300.0,0.0,1.0,2.0,1.0,10.0,14.0,11.0,98.93,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,268.0,0.0,0.0,0.0,84.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,90.0,21.0,0.0,0.0,0.0,75.06
Sep 25 2023 - 04:45:00,Sep 25 2023 - 05:00:00,MNG-KNVVB01,10.201.165.1,100.0,18.0,18.0,83.33,15.0,18.0,0.26999999999999996,0.0,3.0,0.0,0.0,0.0,243.0,3.0,16.67,3.0,18.0,16.67,3.0,18.0,96.81,243.0,251.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,251.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,56.67,17.0,18.0,1639.0,44.0,111.0,87.0,51.0,19.0,1.0,1.0,1957.0,1.0,1.0,2.0,0.0,7.0,10.0,14.0,98.8,99.9,0.0,0.0,0.0,3.0,0.0,0.0,0.0,251.0,243.0,0.0,0.0,0.0,153.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,83.0,18.0,0.0,0.0,0.0,74.97
Sep 25 2023 - 05:00:00,Sep 25 2023 - 05:15:00,MNG-KNVVB01,10.201.165.1,100.0,68.0,68.0,88.24,60.0,68.0,1.02,0.0,8.0,0.0,0.0,0.0,351.0,8.0,11.76,8.0,68.0,11.76,8.0,68.0,93.85,351.0,374.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,68.0,374.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,53.82,61.0,68.0,6254.0,157.0,369.0,292.0,73.0,30.0,11.0,13.0,7360.0,4.0,2.0,2.0,2.0,29.0,62.0,50.0,98.51,99.67,0.0,0.0,0.0,8.0,0.0,0.0,0.0,374.0,351.0,0.0,0.0,0.0,474.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,103.0,68.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 05:15:00,Sep 25 2023 - 05:30:00,MNG-KNVVB01,10.201.165.1,98.72,154.0,156.0,97.4,150.0,154.0,2.0700000000000003,0.0,4.0,0.0,0.0,0.0,469.0,4.0,2.6,4.0,154.0,2.6,4.0,154.0,96.11,469.0,488.0,0.0,0.0,0.0,488.0,0.0,0.0,0.0,156.0,0.0,0.0,156.0,154.0,488.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,48.31,124.0,154.0,13284.0,208.0,611.0,499.0,121.0,30.0,13.0,7.0,15011.0,3.0,2.0,9.0,41.0,114.0,187.0,118.0,98.03,99.86,0.0,0.0,0.0,4.0,0.0,0.0,0.0,488.0,469.0,0.0,0.0,0.0,540.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,111.0,154.0,0.0,0.0,0.0,74.94
Sep 25 2023 - 05:30:00,Sep 25 2023 - 05:45:00,MNG-KNVVB01,10.201.165.1,100.0,206.0,206.0,97.57,201.0,206.0,3.15,0.0,5.0,0.0,0.0,0.0,560.0,5.0,2.43,5.0,206.0,2.43,5.0,206.0,97.39,560.0,575.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,206.0,0.0,0.0,206.0,206.0,575.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,55.05,189.0,206.0,19716.0,439.0,1161.0,913.0,229.0,89.0,16.0,13.0,22884.0,14.0,20.0,14.0,27.0,179.0,289.0,147.0,98.15,99.87,0.0,0.0,0.0,5.0,0.0,0.0,0.0,575.0,560.0,0.0,0.0,0.0,573.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,128.0,206.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 05:45:00,Sep 25 2023 - 06:00:00,MNG-KNVVB01,10.201.165.1,99.32,292.0,294.0,96.92,283.0,292.0,3.77,0.0,9.0,0.0,0.0,0.0,677.0,9.0,3.08,9.0,292.0,3.08,9.0,292.0,98.12,677.0,690.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,294.0,0.0,0.0,294.0,292.0,690.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,46.44,226.0,292.0,23478.0,436.0,1355.0,1073.0,219.0,82.0,73.0,39.0,27201.0,15.0,16.0,28.0,48.0,188.0,399.0,206.0,97.85,99.58,0.0,0.0,0.0,9.0,0.0,0.0,0.0,690.0,677.0,0.0,0.0,0.0,798.0,0.0,0.0,798.0,0.0,0.0,0.0,0.0,132.0,292.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 06:00:00,Sep 25 2023 - 06:15:00,MNG-KNVVB01,10.201.165.1,98.01,345.0,352.0,98.26,339.0,345.0,4.24,0.0,6.0,0.0,0.0,0.0,806.0,6.0,1.74,6.0,345.0,1.74,6.0,345.0,98.53,806.0,818.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,352.0,0.0,0.0,352.0,345.0,818.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,44.17,254.0,345.0,26857.0,460.0,1357.0,897.0,112.0,25.0,16.0,2.0,30734.0,18.0,6.0,11.0,33.0,177.0,376.0,215.0,98.13,99.94,0.0,0.0,0.0,6.0,0.0,0.0,0.0,818.0,806.0,0.0,0.0,0.0,888.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,147.0,345.0,0.0,0.0,0.0,75.06
Sep 25 2023 - 06:15:00,Sep 25 2023 - 06:30:00,MNG-KNVVB01,10.201.165.1,99.65,281.0,282.0,95.02,267.0,281.0,3.93,0.0,14.0,0.0,0.0,0.0,597.0,14.0,4.98,14.0,281.0,4.98,14.0,281.0,98.19,597.0,608.0,0.0,0.0,0.0,608.0,0.0,0.0,0.0,282.0,0.0,0.0,282.0,281.0,608.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,50.39,236.0,281.0,25312.0,469.0,1274.0,938.0,225.0,55.0,15.0,6.0,28968.0,23.0,13.0,19.0,27.0,141.0,310.0,259.0,98.09,99.93,0.0,0.0,0.0,14.0,0.0,0.0,0.0,608.0,597.0,0.0,0.0,0.0,1599.0,0.0,0.0,1599.0,0.0,0.0,0.0,0.0,113.0,281.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 06:30:00,Sep 25 2023 - 06:45:00,MNG-KNVVB01,10.201.165.1,98.85,345.0,349.0,95.94,331.0,345.0,4.78,0.0,14.0,0.0,0.0,0.0,763.0,14.0,4.06,14.0,345.0,4.06,14.0,345.0,95.02,763.0,803.0,1.0,0.12,1.0,804.0,0.0,0.0,0.0,349.0,0.0,0.0,349.0,345.0,803.0,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,49.91,287.0,345.0,30271.0,618.0,1610.0,1170.0,260.0,102.0,39.0,6.0,34688.0,44.0,18.0,16.0,43.0,229.0,432.0,239.0,98.12,99.87,1.0,0.0,0.0,14.0,0.0,0.0,0.0,803.0,763.0,0.0,0.0,0.0,1413.0,0.0,0.0,1413.0,0.0,0.0,0.0,0.0,125.0,345.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 06:45:00,Sep 25 2023 - 07:00:00,MNG-KNVVB01,10.201.165.1,98.95,284.0,287.0,97.18,276.0,284.0,4.26,0.0,8.0,0.0,0.0,0.0,665.0,8.0,2.82,8.0,284.0,2.82,8.0,284.0,84.5,665.0,787.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,287.0,0.0,0.0,287.0,284.0,787.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,53.87,255.0,284.0,27097.0,531.0,1432.0,1185.0,250.0,62.0,24.0,17.0,30872.0,44.0,33.0,32.0,40.0,200.0,552.0,262.0,97.46,99.87,0.0,0.0,0.0,8.0,0.0,0.0,0.0,787.0,665.0,0.0,0.0,0.0,1236.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,148.0,284.0,0.0,0.0,0.0,74.92
Sep 25 2023 - 07:00:00,Sep 25 2023 - 07:15:00,MNG-KNVVB01,10.201.165.1,97.67,336.0,344.0,96.73,325.0,336.0,4.73,0.0,11.0,0.0,0.0,0.0,712.0,11.0,3.27,11.0,336.0,3.27,11.0,336.0,80.82,712.0,881.0,0.0,0.0,0.0,881.0,0.0,0.0,0.0,344.0,0.0,0.0,344.0,336.0,881.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,50.71,284.0,336.0,29956.0,593.0,1582.0,1343.0,341.0,90.0,33.0,16.0,34543.0,18.0,26.0,13.0,27.0,193.0,420.0,249.0,98.11,99.86,0.0,0.0,0.0,11.0,0.0,0.0,0.0,881.0,712.0,0.0,0.0,0.0,1668.0,0.0,0.0,1668.0,0.0,0.0,0.0,0.0,152.0,336.0,0.0,0.0,0.0,75.0
